product_category_name,product_category_korean
perfumaria,향수/화장품
artes,예술/공예
esporte_lazer,스포츠/레저
bebes,유아용품
utilidades_domesticas,생활용품
instrumentos_musicais,악기
cool_stuff,신기한 물건
moveis_decoracao,가구/인테리어
eletrodomesticos,가전제품
brinquedos,완구
cama_mesa_banho,침구/욕실용품
construcao_ferramentas_seguranca,건설/공구/안전
informatica_acessorios,IT/컴퓨터 액세서리
beleza_saude,뷰티/헬스
malas_acessorios,가방/액세서리
ferramentas_jardim,공구/정원용품
moveis_escritorio,사무용 가구
automotivo,자동차용품
eletronicos,전자제품
fashion_calcados,패션/신발
telefonia,통신기기
papelaria,문구
fashion_bolsas_e_acessorios,패션/가방/액세서리
pcs,PC/컴퓨터
casa_construcao,주택/건설
relogios_presentes,시계/선물
construcao_ferramentas_construcao,건설/공구
pet_shop,반려동물용품
eletroportateis,소형 가전
agro_industria_e_comercio,농업/산업/상업
moveis_sala,거실 가구
sinalizacao_e_seguranca,표지판/안전용품
climatizacao,냉난방기기
consoles_games,콘솔/게임
livros_interesse_geral,일반 도서
construcao_ferramentas_ferramentas,건설/공구
fashion_underwear_e_moda_praia,패션/속옷/수영복
fashion_roupa_masculina,패션/남성복
moveis_cozinha_area_de_servico_jantar_e_jardim,주방/식당/정원 가구
industria_comercio_e_negocios,산업/상업/비즈니스
telefonia_fixa,유선전화
construcao_ferramentas_iluminacao,건설/조명
livros_tecnicos,기술 도서
eletrodomesticos_2,가전제품2
artigos_de_festas,파티용품
bebidas,음료
market_place,마켓플레이스
la_cuisine,주방용품
construcao_ferramentas_jardim,건설/공구/정원
fashion_roupa_feminina,패션/여성복
casa_conforto,홈 컴포트
audio,오디오
alimentos_bebidas,식품/음료
musica,음악
alimentos,식품
tablets_impressao_imagem,태블릿/프린터/이미지
livros_importados,수입 도서
portateis_casa_forno_e_cafe,휴대용/오븐/커피 가전
fashion_esporte,패션/스포츠
artigos_de_natal,크리스마스용품
fashion_roupa_infanto_juvenil,패션/아동/청소년복
dvds_blu_ray,DVD/블루레이
artes_e_artesanato,예술/수공예
pc_gamer,게이밍 PC
moveis_quarto,침실 가구
cine_foto,카메라/사진
fraldas_higiene,기저귀/위생용품
flores,꽃
casa_conforto_2,홈 컴포트2
portateis_cozinha_e_preparadores_de_alimentos,주방 소형가전/조리기구
seguros_e_servicos,보험/서비스
moveis_colchao_e_estofado,가구/매트리스/쿠션
cds_dvds_musicais,음악 CD/DVD
